feature,importance
DEF_30_CNT_SOCIAL_CIRCLE,822.2545709609985
CC_RECENT_CC_UTILIZATION,807.5330572128296
BUREAU_DAYS_ENDDATE_FACT_MEAN,803.8116230964661
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,798.7245221138
BUREAU_CREDIT_RECENCY_DAYS,798.2452411651611
POS_SK_DPD_DEF_MEAN,792.6573510169983
BUREAU_DAYS_CREDIT_MEAN,783.462947845459
BUREAU_DAYS_CREDIT_UPDATE_MEAN,768.5735383033752
GEO_APARTMENTS_STD,765.7927150726318
POS_POS_INSTALLMENT_RATIO_MAX,761.0637702941895
INST_AMT_INSTALMENT_MAX,757.0419988632202
PREV_AMT_APPLICATION_MEAN,756.576621055603
PREV_AMT_APPLICATION_SUM,754.0303678512573
PREV_DAYS_TERMINATION_MEAN,735.2417721748352
POS_CNT_INSTALMENT_FUTURE_SUM,718.635721206665
PREV_AMT_GOODS_PRICE_MEAN,701.706573009491
INST_INST_PAYMENT_RATIO_MIN,697.0946006774902
FLAG_DOCUMENT_3,689.6408090591431
GEO_CITY_RISK_SCORE,689.6383008956909
REG_CITY_NOT_LIVE_CITY,687.940019607544
PREV_AMT_CREDIT_SUM,683.678150177002
BUREAU_ACTIVE_CREDITS,682.4514908790588
PREV_DAYS_LAST_DUE_MEAN,677.9728107452393
CC_CC_USING_CASH_ADVANCE_MEAN,676.3309316635132
INST_AVG_DAYS_EARLY,668.9926691055298
DEF_60_CNT_SOCIAL_CIRCLE,655.9059233665466
INST_INST_PAYMENT_RATIO_STD,645.6042461395264
INST_AMT_INSTALMENT_STD,629.8831133842468
PREV_AMT_CREDIT_MIN,590.147138595581
INST_INST_PAYMENT_RATIO_MAX,588.4015636444092
INST_AMT_PAYMENT_STD,558.5031232833862
INST_INST_PAYMENT_DIFF_MIN,556.8714799880981
PREV_AMT_CREDIT_MAX,549.6450386047363
POS_NUM_ACTIVE_LOANS,549.5233345031738
PREV_DAYS_TERMINATION_MIN,543.0644278526306
TOTALAREA_MODE,542.912778377533
INST_NUM_INSTALMENT_NUMBER_COUNT,533.1567306518555
PREV_AMT_APPLICATION_MIN,532.3439593315125
BB_BB_STATUS_0_MEAN,532.1720695495605
BB_BB_STATUS_0_SUM,531.6101279258728
POS_POS_INSTALLMENT_RATIO_MIN,524.0650253295898
BB_BB_STATUS_X_MEAN,518.0478610992432
CC_CC_PAYMENT_RATIO_MAX,511.3088188171387
POS_RECENT_POS_HAS_DPD_MEAN,510.20987606048584
POS_CNT_INSTALMENT_SUM,504.53604793548584
CC_CNT_DRAWINGS_CURRENT_MEAN,501.95264434814453
BB_BB_STATUS_C_SUM,496.93842124938965
DOC_ESSENTIAL_COUNT,491.85227966308594
GEO_COMBINED_RISK,491.16803073883057
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,484.0673084259033
WEEKDAY_APPR_PROCESS_START,480.322847366333
PREV_RATE_DOWN_PAYMENT_MIN,467.0172324180603
POS_SK_DPD_DEF_MAX,464.06017208099365
PREV_DAYS_FIRST_DUE_MIN,456.4008598327637
BB_MONTHS_BALANCE_SIZE,453.84364128112793
INST_INST_PAYMENT_DIFF_STD,448.91524839401245
PREV_PRODUCT_DIVERSITY,438.92522144317627
BB_RECENT_12M_CURRENT_RATE,437.03691959381104
INST_INST_PAYMENT_DIFF_MEAN,433.9321994781494
PREV_AMT_APPLICATION_MAX,432.34673023223877
CC_AVG_UTILIZATION,427.9324016571045
PREV_DAYS_LAST_DUE_MIN,427.09403800964355
CC_CC_PAYMENT_RATIO_MEAN,425.14024782180786
PREV_DAYS_TERMINATION_MAX,423.11360263824463
PREV_CHANNEL_DIVERSITY,415.3420181274414
LANDAREA_AVG,401.77968978881836
YEARS_BEGINEXPLUATATION_AVG,400.0785450935364
CC_VERY_RECENT_CC_PAYMENT_RATIO,396.52834033966064
INST_INST_PAYMENT_DIFF_SUM,395.00996017456055
PREV_DAYS_LAST_DUE_MAX,394.3265504837036
BB_BB_STATUS_C_MEAN,385.8544821739197
INST_INST_UNDERPAID_MEAN,381.85583877563477
INST_INST_DPD_MEAN,375.12402963638306
YEARS_BEGINEXPLUATATION_MODE,372.24859714508057
INST_AMT_PAYMENT_MAX,369.2900342941284
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,369.051061630249
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,365.0844020843506
BASEMENTAREA_MODE,365.00312900543213
LANDAREA_MODE,361.96075916290283
