iter	Passed	Remaining
399	60656	242626
400	60796	242427
401	60944	242260
402	61116	242189
403	61253	241980
404	61425	241910
405	61584	241786
406	61719	241570
407	61859	241371
408	62007	241206
409	62151	241028
410	62305	240883
411	62461	240750
412	62596	240533
413	62744	240367
414	62908	240266
415	63040	240040
416	63171	239811
417	63319	239643
418	63488	239558
419	63645	239427
420	63803	239301
421	63952	239139
422	64101	238977
423	64233	238753
424	64361	238516
425	64505	238338
426	64661	238204
427	64831	238119
428	65004	238046
429	65149	237870
430	65300	237717
431	65456	237581
432	65585	237350
433	65761	237286
434	65906	237111
435	66020	236825
436	66180	236706
437	66320	236511
438	66441	236253
439	66584	236071
440	66761	236010
441	66897	235806
442	67067	235719
443	67215	235557
444	67343	235322
445	67475	235104
446	67596	234850
447	67733	234649
448	67876	234469
449	68042	234369
450	68227	234331
451	68396	234241
452	68549	234098
453	68692	233919
454	68837	233744
455	69006	233654
456	69165	233526
457	69319	233384
458	69450	233165
459	69594	232989
460	69738	232813
461	69880	232631
462	70021	232446
463	70184	232334
464	70339	232197
465	70473	231989
466	70603	231767
467	70764	231647
468	70906	231466
469	71037	231248
470	71192	231111
471	71329	230913
472	71483	230773
473	71628	230600
474	71775	230438
475	71908	230227
476	72066	230099
477	72205	229908
478	72355	229755
479	72495	229570
480	72636	229386
481	72785	229228
482	72928	229052
483	73111	229001
484	73249	228811
485	73410	228689
486	73555	228520
487	73705	228366
488	73847	228186
489	73983	227989
490	74129	227823
491	74277	227663
492	74425	227504
493	74565	227320
494	74706	227137
495	74860	226997
496	75001	226816
497	75130	226597
498	75277	226434
499	75399	226199
500	75535	226004
501	75679	225831
502	75838	225705
503	75994	225570
504	76136	225394
505	76273	225204
506	76421	225045
507	76559	224854
508	76693	224655
509	76848	224518
510	77008	224395
511	77160	224247
512	77314	224105
513	77441	223888
514	77609	223785
515	77756	223624
516	77923	223519
517	78047	223294
518	78178	223087
519	78328	222935
520	78469	222757
521	78590	222522
522	78748	222392
523	78901	222249
524	79047	222085
525	79191	221916
526	79355	221803
527	79501	221641
528	79652	221492
529	79794	221315
530	79927	221118
531	80074	220956
532	80219	220793
533	80366	220630
534	80511	220465
535	80657	220302
536	80798	220127
537	80930	219927
538	81074	219758
539	81210	219570
540	81361	219419
541	81503	219247
542	81634	219046
543	81796	218926
544	81946	218775
545	82096	218623
546	82220	218402
547	82384	218287
548	82544	218163
549	82718	218075
550	82869	217926
551	82995	217712
552	83129	217519
553	83259	217317
554	83416	217183
555	83560	217017
556	83722	216897
557	83872	216746
558	84004	216547
559	84136	216351
560	84286	216199
561	84412	215987
562	84551	215809
563	84695	215643
564	84839	215476
565	84985	215315
566	85137	215170
567	85287	215020
568	85424	214837
569	85560	214652
570	85714	214512
571	85845	214313
572	85993	214157
573	86138	213996
574	86299	213872
575	86456	213738
576	86587	213542
577	86729	213371
578	86858	213171
579	87019	213048
580	87184	212935
581	87318	212744
582	87462	212579
583	87595	212389
584	87729	212200
585	87868	212024
586	88006	211846
587	88148	211677
588	88301	211534
589	88446	211371
590	88579	211183
591	88734	211043
592	88891	210912
593	89015	210700
594	89169	210560
595	89316	210403
596	89468	210259
597	89634	210146
598	89788	210006
599	89947	209877
600	90097	209727
601	90220	209515
602	90358	209337
603	90515	209204
604	90643	209004
605	90793	208854
606	90954	208730
607	91088	208544
608	91217	208348
609	91373	208210
610	91522	208061
611	91645	207849
612	91777	207658
613	91913	207479
614	92061	207326
615	92208	207170
616	92357	207017
617	92476	206800
618	92622	206641
619	92771	206491
620	92897	206288
621	93042	206128
622	93191	205977
623	93331	205807
624	93470	205634
625	93632	205511
626	93799	205400
627	93941	205235
628	94083	205068
629	94238	204931
630	94409	204829
631	94548	204654
632	94672	204451
633	94823	204304
634	94943	204092
635	95088	203932
636	95232	203771
637	95367	203589
638	95529	203466
