iter	Logloss
0	0.6885094882
1	0.6844059664
2	0.6805699418
3	0.6772126452
4	0.6736412765
5	0.6702862556
6	0.6670520546
7	0.6640698224
8	0.6609868329
9	0.6582583919
10	0.655496001
11	0.6528884792
12	0.6505393734
13	0.6481288062
14	0.6457165463
15	0.6434654557
16	0.6415458846
17	0.6396051023
18	0.6378320444
19	0.6362336203
20	0.6346453612
21	0.632941529
22	0.6315408928
23	0.6299028532
24	0.6285614848
25	0.627192782
26	0.62570202
27	0.6243030291
28	0.623243909
29	0.6220654589
30	0.6209261277
31	0.6198376264
32	0.6188372732
33	0.6178699674
34	0.6169021003
35	0.6160176786
36	0.6151146368
37	0.6141713404
38	0.613281901
39	0.6124841463
40	0.6117204063
41	0.610925506
42	0.6101751267
43	0.609463551
44	0.6087435763
45	0.6080131558
46	0.6073244927
47	0.6066701681
48	0.6060956186
49	0.6054415228
50	0.6048780194
51	0.6043053267
52	0.6036841402
53	0.6031141291
54	0.6025112779
55	0.6020142795
56	0.6015854185
57	0.6011331052
58	0.600637113
59	0.6001916872
60	0.5997264451
61	0.5993060867
62	0.598895168
63	0.5985015287
64	0.5981041562
65	0.5977213427
66	0.5972906594
67	0.5968445536
68	0.5964708148
69	0.5960723002
70	0.5957309029
71	0.5953321421
72	0.594966988
73	0.5946094902
74	0.5941935148
75	0.5938577571
76	0.5935457798
77	0.5930960596
78	0.5928072411
79	0.5925529684
80	0.5922731318
81	0.5919391143
82	0.5916037172
83	0.5913353066
84	0.5910251776
85	0.5906867339
86	0.5904474217
87	0.5901288743
88	0.5898948822
89	0.589613694
90	0.5893408465
91	0.5890288045
92	0.5887589927
93	0.5885389031
94	0.588288098
95	0.5880479589
96	0.5878077377
97	0.5875481385
98	0.5873080793
99	0.5870705916
100	0.5868103101
101	0.5865363917
102	0.5863468493
103	0.5861443544
104	0.5859660394
105	0.5857650602
106	0.5855623149
107	0.5852888693
108	0.5850795451
109	0.5847729009
110	0.5845696028
111	0.5843804858
112	0.5841801133
113	0.583984819
114	0.5838363495
115	0.5836090723
116	0.5834220043
117	0.5831986977
118	0.5829889654
119	0.5828025732
120	0.5826314071
121	0.5824898057
122	0.5823105105
123	0.5821849709
124	0.5819758
125	0.5817755786
126	0.5815997424
127	0.5813949631
128	0.5812516885
129	0.5811254967
130	0.5809340047
131	0.5807700522
132	0.5806214316
133	0.5805031012
134	0.5803425622
135	0.5801949262
136	0.5800178592
137	0.5798822926
138	0.5797694679
139	0.5795481542
140	0.5794269176
141	0.5792728517
142	0.5790639162
143	0.578932454
144	0.5788045955
145	0.578621375
146	0.5784949479
147	0.5783324118
148	0.5781891048
149	0.5780639322
150	0.5778599345
151	0.5777210796
152	0.5775610307
153	0.5774263818
154	0.5773010278
155	0.5771624924
156	0.5770333124
157	0.5769014444
158	0.5767782452
159	0.5766623028
160	0.5765573395
161	0.5764473585
162	0.5763127289
163	0.5762132368
164	0.5760930064
165	0.5759583013
166	0.5758545061
167	0.5757176419
168	0.5756288849
169	0.575535067
170	0.575420854
171	0.5753123152
172	0.5752212286
173	0.575112571
174	0.5750216571
175	0.5749006171
176	0.5748210774
177	0.5747300512
178	0.5746458521
179	0.5745253302
180	0.5744115254
181	0.574326698
182	0.5742303647
183	0.5741138782
184	0.5740140817
185	0.5739297228
186	0.5738368247
187	0.5737365942
188	0.5736595504
189	0.5735513981
190	0.5734412745
191	0.5733252371
192	0.5732220357
193	0.5731420706
194	0.5730592297
195	0.5729599643
196	0.5728523086
197	0.5727488783
198	0.5726351727
199	0.572567655
200	0.5724699485
201	0.5723996779
202	0.5723288826
203	0.5722518065
204	0.5721584938
205	0.5720673877
206	0.5719764673
207	0.5719124301
208	0.5718116986
209	0.5717215037
210	0.5716262759
211	0.5715144012
212	0.5714109407
213	0.5713271497
214	0.5712548236
215	0.5711506355
216	0.5710732225
217	0.5709788216
218	0.5709217065
219	0.5708443281
220	0.5707647646
221	0.5706234138
222	0.5705425915
223	0.5704714141
224	0.5704064441
225	0.5703168602
226	0.5702208789
227	0.5700818685
228	0.5699829982
229	0.5698749906
230	0.5697874276
231	0.569712137
232	0.5696261027
233	0.5695406838
234	0.5694704153
235	0.5694090187
236	0.569339385
237	0.5692421125
238	0.5691720362
239	0.5690598377
240	0.5689126702
241	0.5688509367
242	0.5687901986
243	0.5687259282
244	0.5686559232
245	0.5685497054
246	0.5684455151
247	0.5683686678
248	0.5682839873
249	0.5681960918
250	0.5681269655
251	0.5680528279
252	0.5679872685
253	0.5679204741
254	0.5678609861
255	0.5677916699
256	0.5677192552
257	0.5676484729
258	0.5675709477
259	0.5674979782
260	0.5674042013
261	0.5673230725
262	0.567263958
263	0.5672008665
264	0.5671306499
265	0.5670560092
266	0.5669791706
267	0.5668995963
268	0.5668123205
269	0.5667092292
270	0.5666221153
271	0.5665768343
272	0.5665262462
273	0.566445478
274	0.5663709259
275	0.5662523126
276	0.5661960115
277	0.5661033379
278	0.5660184652
279	0.5659621662
280	0.5658752985
281	0.5657925029
282	0.5657376505
283	0.5656740516
284	0.5656008597
285	0.5655320853
286	0.5654617219
287	0.5654151843
288	0.5653483769
289	0.5652726977
290	0.5651922361
291	0.565124008
292	0.5650040842
293	0.5649295645
294	0.5648499492
295	0.5647692803
296	0.5646899608
297	0.5646003704
298	0.5645248359
299	0.5644701455
300	0.5643931276
301	0.5643030817
302	0.5642198132
303	0.5641514491
304	0.5640753597
305	0.5640134125
306	0.5639140391
307	0.5638705912
308	0.5637809533
309	0.5637151219
310	0.5636363573
311	0.5635007605
312	0.5634076356
313	0.5633415947
314	0.5632724922
315	0.5632152022
316	0.5631637829
317	0.5631108694
318	0.5630391392
319	0.5629776972
320	0.562892017
321	0.5628518985
322	0.562786976
323	0.5627317026
324	0.5626452019
325	0.5625365206
326	0.5624744871
327	0.5624125658
328	0.5623662333
329	0.5622729724
330	0.5622005686
331	0.5621519906
332	0.5620978594
333	0.5620410444
334	0.5619507372
335	0.5619061493
336	0.5618232544
337	0.5617680112
338	0.5616733167
339	0.5616193819
340	0.5615842531
341	0.5615232149
342	0.5614463309
343	0.5613813847
344	0.5613198434
345	0.5612559076
346	0.561189789
347	0.5611110849
348	0.5610607084
349	0.560995244
350	0.560926176
351	0.5608750308
352	0.5608381488
353	0.5607900135
354	0.5607200905
355	0.5606636058
356	0.5605875574
357	0.5605355918
358	0.5604754626
359	0.5604100133
360	0.5603307327
361	0.5602562712
362	0.5602060113
363	0.5601557946
364	0.5600975157
365	0.560040677
366	0.559997812
367	0.5599493507
368	0.5598890185
369	0.5598399374
370	0.5597919468
371	0.559741296
372	0.5596350222
373	0.5595462458
374	0.5594963292
375	0.5594564244
376	0.5593866245
377	0.5593551316
378	0.5593004174
379	0.559257058
380	0.5591830522
381	0.5591319027
382	0.5590519204
383	0.558995073
384	0.5589389295
385	0.558887549
386	0.5588365787
387	0.5587489035
388	0.5586911817
389	0.5586442079
390	0.558590582
391	0.5585281597
392	0.5584689999
393	0.5584131285
394	0.5583864245
395	0.5583319392
396	0.5582915616
397	0.5582454731
398	0.5581880212
399	0.5580814472
400	0.5580277046
401	0.5579736554
402	0.5578988485
403	0.5578653649
404	0.5577988555
405	0.5577318992
406	0.5576820257
407	0.5576406009
408	0.5575860875
409	0.5575202129
410	0.5574476947
411	0.5573796026
412	0.557323023
413	0.5572044421
414	0.557130786
415	0.5570806535
416	0.5570447733
417	0.5570031909
418	0.5569415654
419	0.5568831785
420	0.5568164165
421	0.5567554927
422	0.556676279
423	0.5566055529
424	0.5565667492
425	0.5564936934
426	0.5564355397
427	0.5563356503
428	0.5562583173
429	0.556210698
430	0.5561506335
431	0.5560583269
432	0.5559996594
433	0.5558995736
434	0.5558363849
435	0.5557974733
436	0.555733341
437	0.5556861471
438	0.5556412569
439	0.5555774723
440	0.5555066705
441	0.5554431493
442	0.5553680315
443	0.5553094935
444	0.5552633662
445	0.5552114459
446	0.5551606095
447	0.5551024969
448	0.5550302593
449	0.5549304585
450	0.5548591493
451	0.5547777226
452	0.5547143957
453	0.5546430261
454	0.5545782439
455	0.5545150984
456	0.5544439771
457	0.5543837961
458	0.5543072424
459	0.5542517078
460	0.5541934656
461	0.5541346319
462	0.554059622
463	0.5539804407
464	0.5539187958
465	0.5538573063
466	0.5537973023
467	0.5537051728
468	0.5536412068
469	0.5535745592
470	0.5535041677
471	0.553439867
472	0.5533723277
473	0.5532864208
474	0.5532126762
475	0.5531502496
476	0.5530778825
477	0.5530111572
478	0.5529242851
479	0.5528443136
480	0.5527703272
481	0.5526956995
482	0.5526440448
483	0.5525463858
484	0.5524676989
485	0.5524006713
486	0.5523222911
487	0.5522714935
488	0.5521966283
489	0.5521307256
490	0.5520475716
491	0.5519782315
492	0.5519133155
493	0.5518448737
494	0.5517863487
495	0.5517005562
496	0.5516020357
497	0.5515553556
498	0.5514826992
499	0.5514263225
500	0.5513622032
501	0.5512930575
502	0.5512122936
503	0.5511321969
504	0.5510524758
505	0.5509760409
506	0.5509123664
507	0.5508369398
508	0.5507736605
509	0.5506917133
510	0.5505895051
511	0.5505173582
512	0.5504433523
513	0.5503752495
514	0.5502896772
515	0.5502265965
516	0.5501472403
517	0.5500835205
518	0.5500173975
519	0.5499368474
520	0.5498523482
521	0.5497935295
522	0.5496998649
523	0.5496040411
524	0.5495314128
525	0.5494554594
526	0.5493821509
527	0.5493019613
528	0.5492143703
529	0.5491393215
530	0.5490777846
531	0.5490070843
532	0.5489169541
533	0.5488399752
534	0.5487626896
535	0.5486909551
536	0.5486251841
537	0.5485623667
538	0.5484795884
539	0.5484125586
540	0.5483163095
541	0.5482356687
542	0.5481543909
543	0.5480658131
544	0.5479956699
545	0.5479323236
546	0.547879924
547	0.5478048213
548	0.5477320634
549	0.5476409012
550	0.5475572268
551	0.5474825451
552	0.5474220423
553	0.5473507828
554	0.5472684579
555	0.5471959915
556	0.5471134355
557	0.5470457018
558	0.5469702882
559	0.5469048972
560	0.5468284602
561	0.5467690456
562	0.5466922825
563	0.5466216578
564	0.5465525402
565	0.5464876566
566	0.5464100018
567	0.5463402084
568	0.5462713153
569	0.5462067361
570	0.5461337774
571	0.5460729702
572	0.5459913254
573	0.5459064937
574	0.5458250259
575	0.5457563595
576	0.5456969838
577	0.5456240748
578	0.5455523532
579	0.5454856646
580	0.5454146577
581	0.5453368302
582	0.5452744987
583	0.5452125428
584	0.5451459471
585	0.5450573456
586	0.5449879559
587	0.5449130216
588	0.5448233124
589	0.5447500255
590	0.544682361
591	0.5446153614
592	0.5445492363
593	0.5444910222
594	0.5444188581
595	0.544339707
596	0.5442564666
597	0.5441731269
598	0.5441041172
599	0.5440349715
600	0.5439644785
601	0.5439091598
602	0.5438200077
603	0.5437478328
604	0.5436818113
605	0.5436153256
606	0.5435391174
607	0.5434833669
608	0.5434208713
609	0.543345598
610	0.5432880619
611	0.5432412047
612	0.5431803846
613	0.5431194197
614	0.5430588069
615	0.5429864851
616	0.5429067036
617	0.5428511107
618	0.5427659529
619	0.5427042216
620	0.5426555746
621	0.5425822488
622	0.5425126778
623	0.5424525572
624	0.5423883602
625	0.5423072033
626	0.5422449819
627	0.5421832182
628	0.5421163439
629	0.5420510673
630	0.5419942523
631	0.5419308671
632	0.5418741471
633	0.5417994633
634	0.5417466837
635	0.5416661681
636	0.541597072
637	0.5415315256
638	0.5414478339
639	0.5413816052
640	0.5412975378
641	0.5412097827
642	0.5411273735
643	0.5410527178
644	0.5409683395
645	0.540915467
646	0.5408452504
647	0.5407595831
648	0.5406978885
649	0.5406454911
650	0.5405820649
651	0.5405217867
652	0.5404479147
653	0.5403853586
654	0.5403149066
655	0.5402641652
656	0.540200806
657	0.540142974
658	0.5400648032
659	0.539989327
660	0.5399150188
661	0.5398454327
662	0.5397669747
663	0.5396882468
664	0.5396219403
665	0.5395528616
666	0.5394823513
667	0.5394164184
668	0.5393513361
669	0.5392797009
670	0.5392098103
671	0.5391356987
672	0.5390776271
673	0.5390003631
674	0.5389182022
675	0.5388515805
676	0.5387900716
